Volume (m3),Surface (m2),Head (m)
2802000000,70807815.83,140.1137479
2796000000,70704401.44,140.0182971
2790000000,70600916.42,139.9227068
2784000000,70497360.57,139.8269763
2778000000,70393733.67,139.7311052
2772000000,70290035.54,139.635093
2766000000,70186265.97,139.5389391
2760000000,70082424.75,139.4426431
2754000000,69978511.67,139.3462044
2748000000,69874526.54,139.2496224
2742000000,69770469.15,139.1528968
2736000000,69666339.28,139.0560269
2730000000,69562136.72,138.9590122
2724000000,69457861.28,138.8618521
2718000000,69353512.72,138.7645462
2712000000,69249090.85,138.667094
2706000000,69144595.44,138.5694947
2700000000,69040026.29,138.471748
2694000000,68935383.17,138.3738532
2688000000,68830665.87,138.2758098
2682000000,68725874.17,138.1776172
2676000000,68621007.85,138.0792749
2670000000,68516066.69,137.9807824
2664000000,68411050.47,137.882139
2658000000,68305958.97,137.7833441
2652000000,68200791.96,137.6843973
2646000000,68095549.21,137.5852978
2640000000,67990230.5,137.4860453
2634000000,67884835.61,137.3866389
2628000000,67779364.3,137.2870783
2622000000,67673816.34,137.1873627
2616000000,67568191.51,137.0874916
2610000000,67462489.56,136.9874643
2604000000,67356710.27,136.8872804
2598000000,67250853.4,136.7869391
2592000000,67144918.71,136.6864399
2586000000,67038905.98,136.5857821
2580000000,66932814.95,136.4849651
2574000000,66826645.38,136.3839883
2568000000,66720397.05,136.2828512
2562000000,66614069.69,136.1815529
2556000000,66507663.08,136.080093
2550000000,66401176.97,135.9784707
2544000000,66294611.1,135.8766855
2538000000,66187965.23,135.7747366
2532000000,66081239.11,135.6726235
2526000000,65974432.49,135.5703455
2520000000,65867545.11,135.4679019
2514000000,65760576.74,135.365292
2508000000,65653527.1,135.2625153
2502000000,65546395.94,135.1595709
2496000000,65439183.01,135.0564583
2490000000,65331888.04,134.9531768
2484000000,65224510.78,134.8497257
2478000000,65117050.96,134.7461042
2472000000,65009508.32,134.6423117
2466000000,64901882.6,134.5383476
2460000000,64794173.52,134.434211
2454000000,64686380.82,134.3299013
2448000000,64578504.23,134.2254178
2442000000,64470543.49,134.1207598
2436000000,64362498.3,134.0159265
2430000000,64254368.41,133.9109172
2424000000,64146153.53,133.8057313
2418000000,64037853.4,133.7003678
2412000000,63929467.72,133.5948262
2406000000,63820996.22,133.4891056
2400000000,63712438.62,133.3832054
2394000000,63603794.63,133.2771247
2388000000,63495063.97,133.1708628
2382000000,63386246.35,133.064419
2376000000,63277341.48,132.9577924
2370000000,63168349.07,132.8509823
2364000000,63059268.83,132.7439879
2358000000,62950100.47,132.6368084
2352000000,62840843.68,132.5294431
2346000000,62731498.17,132.4218911
2340000000,62622063.65,132.3141516
2334000000,62512539.81,132.2062238
2328000000,62402926.34,132.098107
2322000000,62293222.95,131.9898002
2316000000,62183429.33,131.8813027
2310000000,62073545.17,131.7726136
2304000000,61963570.15,131.6637322
2298000000,61853503.98,131.5546574
2292000000,61743346.32,131.4453886
2286000000,61633096.88,131.3359249
2280000000,61522755.32,131.2262653
2274000000,61412321.33,131.116409
2268000000,61301794.59,131.0063552
2262000000,61191174.78,130.896103
2256000000,61080461.56,130.7856515
2250000000,60969654.62,130.6749998
2244000000,60858753.62,130.5641469
2238000000,60747758.23,130.4530921
2232000000,60636668.11,130.3418343
2226000000,60525482.94,130.2303727
2220000000,60414202.37,130.1187064
2214000000,60302826.06,130.0068344
