Volume (m3),Surface (m2),Head (m)
10150000000,160622325.5,198.6111063
10136000000,160471236.8,198.5239453
10122000000,160320081.7,198.4367023
10108000000,160168860.2,198.349377
10094000000,160017571.9,198.2619692
10080000000,159866216.9,198.1744789
10066000000,159714794.9,198.0869056
10052000000,159563306,197.9992494
10038000000,159411749.9,197.9115099
10024000000,159260126.5,197.823687
10010000000,159108435.7,197.7357805
9996000000,158956677.4,197.6477902
9982000000,158804851.5,197.5597159
9968000000,158652957.8,197.4715574
9954000000,158500996.2,197.3833145
9940000000,158348966.6,197.2949869
9926000000,158196868.8,197.2065746
9912000000,158044702.8,197.1180773
9898000000,157892468.3,197.0294948
9884000000,157740165.4,196.9408268
9870000000,157587793.8,196.8520733
9856000000,157435353.4,196.7632339
9842000000,157282844,196.6743085
9828000000,157130265.7,196.5852969
9814000000,156977618.2,196.4961989
9800000000,156824901.3,196.4070142
9786000000,156672115.1,196.3177426
9772000000,156519259.2,196.228384
9758000000,156366333.7,196.1389382
9744000000,156213338.4,196.0494048
9730000000,156060273,195.9597838
9716000000,155907137.6,195.8700749
9702000000,155753932,195.7802778
9688000000,155600656,195.6903925
9674000000,155447309.6,195.6004185
9660000000,155293892.5,195.5103559
9646000000,155140404.6,195.4202042
9632000000,154986845.8,195.3299634
9618000000,154833216,195.2396331
9604000000,154679515.1,195.1492133
9590000000,154525742.8,195.0587035
9576000000,154371899.1,194.9681038
9562000000,154217983.8,194.8774137
9548000000,154063996.8,194.7866331
9534000000,153909937.9,194.6957618
9520000000,153755807,194.6047995
9506000000,153601604,194.513746
9492000000,153447328.7,194.4226011
9478000000,153292981,194.3313646
9464000000,153138560.7,194.2400362
9450000000,152984067.8,194.1486157
9436000000,152829502,194.0571029
9422000000,152674863.2,193.9654976
9408000000,152520151.3,193.8737995
9394000000,152365366.1,193.7820083
9380000000,152210507.5,193.6901239
9366000000,152055575.3,193.598146
9352000000,151900569.4,193.5060744
9338000000,151745489.7,193.4139089
9324000000,151590336,193.3216491
9310000000,151435108.1,193.229295
9296000000,151279806,193.1368461
9282000000,151124429.4,193.0443024
9268000000,150968978.2,192.9516635
9254000000,150813452.3,192.8589292
9240000000,150657851.5,192.7660993
9226000000,150502175.7,192.6731735
